crop_time,read_image_time,model_time,full_time,run_time
26.90,28717.80,0.40,28752.60,34.80
33.10,28999.00,0.70,29040.70,41.70
30.00,28787.30,0.50,28826.30,39.00
31.30,28370.70,0.50,28424.20,53.50
38.20,29653.10,0.70,29700.90,47.80
35.20,27741.90,0.50,27787.30,45.40
32.50,27764.50,0.80,27805.70,41.20
28.40,43612.10,0.40,43650.50,38.40
28.20,27873.50,0.70,27910.60,37.10
33.80,29036.60,0.40,29078.70,42.10
28.30,28624.10,0.70,28661.60,37.50
32.70,29946.60,1.10,29990.20,43.60
29.30,27730.00,0.40,27768.20,38.20
37.80,28568.90,1.00,28617.80,48.90
31.50,26689.00,0.50,26730.00,41.00
30.20,29738.50,0.60,29778.90,40.40
34.80,28008.40,0.40,28052.60,44.20
43.10,28666.40,0.60,28722.30,55.90
72.70,29239.30,1.40,29328.50,89.20
33.40,42478.90,0.60,42523.70,44.80
32.70,28746.40,0.60,28799.40,53.00
33.10,24663.50,0.40,24706.70,43.20
32.40,28908.10,0.50,28948.80,40.70
32.20,28255.80,0.50,28297.10,41.30
35.80,28886.50,0.40,28931.10,44.60
46.50,29163.50,1.10,29221.40,57.90
34.10,28527.70,0.50,28573.70,46.00
33.10,28690.70,0.50,28732.80,42.10
35.80,28520.30,0.50,28565.90,45.60
125.00,27898.90,2.00,28053.80,154.90
30.50,27959.60,0.50,27999.00,39.40
37.10,44166.30,0.60,44215.30,49.00
39.90,29085.60,0.80,29138.30,52.70
36.20,26542.80,0.60,26593.80,51.00
28.70,28534.70,0.60,28572.10,37.40
30.70,29657.40,0.70,29700.40,43.00
36.90,28804.30,0.80,28853.10,48.80
36.50,28436.30,0.60,28482.90,46.60
31.70,28456.70,0.80,28497.70,41.00
36.60,29539.50,0.70,29586.30,46.80
34.10,27804.20,0.40,27847.20,43.00
38.60,28639.80,0.50,28688.20,48.40
28.40,27105.00,0.40,27141.90,36.90
34.10,43578.20,0.60,43621.90,43.70
35.60,28550.50,0.60,28597.90,47.40
37.20,29737.80,0.60,29785.80,48.00
31.30,28508.60,0.70,28550.20,41.60
37.00,28426.40,0.50,28474.30,47.90
34.00,28630.20,0.60,28674.00,43.80
32.40,28485.70,0.70,28528.60,42.90
33.80,28034.80,0.90,28078.80,44.00
34.40,28611.10,0.40,28658.10,47.00
34.90,29040.20,0.70,29085.50,45.30
39.00,29575.60,0.70,29626.50,50.90
32.20,26449.90,0.50,26491.80,41.90
34.50,42370.00,0.80,42413.70,43.70
29.70,28326.90,0.50,28368.80,41.90
39.70,28858.00,1.20,28910.50,52.50
29.80,29677.20,0.40,29715.20,38.00
37.10,29525.40,0.60,29571.90,46.50
37.40,19360.20,0.50,19408.50,48.30
37.00,27402.60,0.60,27450.80,48.20
28.70,28562.80,0.50,28599.60,36.80
29.20,28795.30,0.60,28832.90,37.60
33.10,28107.50,0.70,28149.90,42.40
34.10,27342.70,0.60,27386.60,43.90
33.30,30521.80,0.50,30564.40,42.60
34.30,43110.40,0.60,43154.80,44.40
34.70,25512.60,0.50,25559.80,47.20
30.20,26605.40,0.70,26644.50,39.10
33.50,29686.50,0.60,29728.80,42.30
39.10,28523.10,1.20,28573.70,50.60
35.40,27918.80,0.80,27963.90,45.10
34.20,29692.30,0.60,29736.20,43.90
33.70,27743.70,0.80,27788.70,45.00
31.40,28767.60,0.70,28808.80,41.20
29.90,29787.70,0.60,29825.80,38.10
43.10,27065.90,0.60,27120.30,54.40
39.60,27813.10,0.80,27864.40,51.30
33.80,44104.70,1.10,44150.50,45.80
41.90,27678.30,0.80,27732.30,54.00
32.30,29714.50,0.70,29759.20,44.70
37.20,26870.60,0.80,26920.20,49.60
30.90,28520.80,0.50,28560.10,39.30
36.10,28812.70,0.70,28860.10,47.40
34.70,29242.40,0.50,29287.10,44.70
40.00,28721.40,0.60,28772.50,51.10
59.20,29099.90,0.50,29178.20,78.30
67.40,31077.60,0.50,31162.30,84.70
36.70,24017.70,0.60,24063.60,45.90
60.80,31732.50,0.90,31811.10,78.60
45.10,40703.10,0.80,40760.20,57.10
35.70,26697.30,0.80,26744.00,46.70
35.90,27558.40,0.50,27607.40,49.00
34.30,26969.40,1.70,27016.60,47.20
37.70,30897.10,0.60,30947.40,50.30
34.30,27146.60,0.80,27191.60,45.00
36.80,26147.70,0.40,26194.80,47.10
31.30,28540.30,0.40,28581.20,40.90
34.80,30422.30,0.70,30467.10,44.80
37.50,26829.80,0.80,26878.10,48.30
37.60,26231.40,0.80,26280.80,49.40
39.80,29086.30,3.70,29142.40,56.10
29.60,42263.70,0.40,42302.80,39.10
33.20,28474.40,0.60,28518.30,43.90
32.50,26594.70,0.70,26637.80,43.10
28.20,28948.20,0.50,28985.40,37.20
31.70,27984.10,0.40,28026.20,42.10
32.20,28884.60,0.60,28926.10,41.50
35.60,29696.00,0.50,29740.90,44.90
33.20,28424.00,0.80,28468.10,44.10
32.00,29879.60,0.60,29920.50,40.90
38.10,29255.30,0.50,29305.60,50.30
36.90,25228.20,1.00,25278.30,50.10
64.60,28301.20,1.00,28379.40,78.20
30.90,40105.60,0.70,40145.20,39.60
28.20,28445.00,0.60,28483.40,38.40
36.70,28199.40,0.50,28248.10,48.70
50.90,30594.10,1.00,30657.20,63.10
40.10,17363.10,0.50,17414.70,51.60
34.80,28860.40,0.90,28906.40,46.00
30.60,26898.30,0.50,26938.80,40.50
33.20,29678.90,0.50,29721.50,42.60
