crop_time,read_image_time,model_time,full_time,run_time
34.20,29860.10,0.40,29903.50,43.40
29.90,29399.20,0.40,29437.00,37.80
30.30,28708.90,0.60,28748.10,39.20
28.00,29517.00,0.80,29555.60,38.60
37.40,44076.80,0.60,44123.00,46.20
39.80,26933.40,0.50,26983.40,50.00
33.00,25489.60,0.60,25532.70,43.10
28.30,27051.50,0.70,27090.20,38.70
35.10,29715.30,1.00,29759.80,44.50
33.00,31154.60,0.60,31196.80,42.20
33.70,2809.40,0.50,2852.90,43.50
29.30,1951.30,0.70,1989.30,38.00
30.60,24310.20,0.50,24349.70,39.50
29.20,29671.90,0.50,29708.90,37.00
29.00,28870.50,0.60,28908.40,37.90
28.80,30874.90,0.60,30913.70,38.80
37.80,42022.80,0.80,42070.70,47.90
30.40,28086.70,0.60,28127.20,40.50
67.10,28809.70,0.60,28886.50,76.80
29.00,25989.50,0.50,26027.00,37.50
33.10,28450.30,1.20,28497.10,46.80
28.30,28605.40,0.40,28642.10,36.70
28.40,30867.40,0.60,30903.60,36.20
34.70,28028.90,0.70,28073.50,44.60
26.90,27529.00,0.60,27564.00,35.00
30.60,29783.10,0.60,29823.10,40.00
31.30,30716.90,0.70,30758.60,41.70
37.20,28914.30,0.90,28962.70,48.40
37.00,41435.50,0.50,41484.10,48.60
35.70,30479.20,0.50,30526.70,47.50
34.60,34951.50,0.50,34996.90,45.40
34.20,17717.10,0.60,17764.20,47.10
41.60,27677.40,0.80,27730.50,53.10
31.60,28472.00,0.70,28513.10,41.10
33.40,29171.30,0.80,29214.80,43.50
32.20,27233.50,0.40,27274.20,40.70
34.90,27674.00,0.70,27718.90,44.90
33.40,29709.70,0.40,29752.50,42.80
31.50,28576.40,0.50,28616.00,39.60
34.00,30741.90,0.80,30786.70,44.80
32.70,39549.60,0.50,39592.00,42.40
28.30,28322.00,0.60,28361.00,39.00
30.60,28526.80,0.80,28565.90,39.10
31.10,25623.40,0.70,25663.10,39.70
33.50,24178.60,0.60,24222.50,43.90
31.80,29636.90,0.60,29678.00,41.10
34.60,28554.30,0.90,28600.30,46.00
31.90,27021.10,0.50,27062.20,41.10
30.10,28554.50,0.50,28592.20,37.70
35.30,29442.40,0.50,29487.20,44.80
39.80,28663.90,0.90,28714.80,50.90
36.40,44764.40,0.70,44811.80,47.40
33.10,26723.20,0.60,26765.30,42.10
129.40,30778.90,0.70,30937.50,158.60
37.50,26310.20,0.60,26357.90,47.70
34.10,25635.70,0.70,25679.60,43.90
29.70,28464.50,0.40,28505.90,41.40
32.50,28730.10,0.70,28773.00,42.90
31.00,28495.20,0.40,28534.40,39.20
33.10,28675.90,0.80,28718.50,42.60
31.10,28632.80,0.60,28673.40,40.60
32.70,28909.20,0.90,28952.20,43.00
31.10,29541.30,0.80,29582.70,41.40
33.90,45307.40,0.50,45351.10,43.70
37.60,26995.60,0.70,27048.10,52.50
35.00,27765.50,0.60,27810.90,45.40
35.90,27779.40,0.80,27826.50,47.10
34.70,28245.70,1.10,28293.60,47.90
31.60,28262.20,0.80,28311.80,49.60
30.30,28771.90,0.60,28812.00,40.10
33.30,28777.60,0.50,28821.40,43.80
28.20,28492.70,0.70,28530.60,37.90
33.20,28580.70,0.80,28624.60,43.90
65.80,29991.10,0.50,30086.90,95.80
35.60,28533.60,0.80,28579.20,45.60
32.60,43887.30,0.70,43928.80,41.50
227.60,28738.30,1.20,29098.10,359.80
35.70,26689.70,0.60,26737.20,47.50
38.50,27289.10,1.40,27340.90,51.80
40.00,28802.40,0.40,28857.40,55.00
38.40,24223.00,0.50,24272.30,49.30
35.30,29372.50,0.70,29418.00,45.50
36.90,27206.80,0.70,27254.30,47.50
29.40,28896.90,0.60,28934.80,37.90
35.70,28449.80,0.60,28496.00,46.20
33.00,28351.10,0.60,28394.20,43.10
36.00,29720.50,0.60,29766.60,46.10
34.10,45711.60,0.50,45755.90,44.30
41.10,28058.60,1.10,28112.50,53.90
36.70,28739.30,0.60,28789.00,49.70
34.40,25993.20,0.50,26037.10,43.90
31.90,26954.40,0.50,26995.30,40.90
32.70,27550.50,0.50,27592.60,42.10
40.10,25159.40,0.80,25211.00,51.60
33.50,28472.70,0.70,28516.50,43.80
34.20,29607.80,0.90,29653.50,45.70
32.30,27587.10,0.50,27628.10,41.00
31.60,29487.50,0.70,29529.30,41.80
33.10,28565.40,0.40,28608.20,42.80
32.10,45770.80,0.80,45812.60,41.80
37.50,27219.40,1.00,27268.90,49.50
36.60,29339.40,0.50,29387.00,47.60
41.40,27074.60,0.60,27127.50,52.90
32.60,26222.30,0.60,26263.90,41.60
32.10,26229.70,0.60,26274.20,44.50
31.30,28709.40,0.90,28750.90,41.50
35.50,28702.20,0.60,28748.70,46.50
33.30,28667.40,0.80,28710.60,43.20
34.20,28771.40,0.90,28815.20,43.80
29.60,29631.90,0.60,29671.40,39.50
37.00,28747.40,0.80,28795.50,48.10
34.10,46771.30,0.60,46815.70,44.40
36.70,25516.00,0.40,25562.80,46.80
36.60,27454.50,0.90,27502.20,47.70
32.40,26784.80,0.60,26829.90,45.10
32.00,28283.70,0.50,28326.40,42.70
37.60,28589.40,0.60,28638.90,49.50
30.20,26126.30,0.60,26202.20,75.90
31.00,28341.70,0.80,28383.50,41.80
34.60,28691.20,0.40,28735.70,44.50
35.20,28590.80,1.00,28637.40,46.60
35.00,29636.90,0.70,29681.70,44.80
34.90,28459.00,0.50,28503.60,44.60
36.60,47916.80,0.60,47962.90,46.10
116.30,25347.20,2.10,25495.50,148.30
38.50,28727.90,0.80,28776.00,48.10
42.50,24034.20,0.60,24088.10,53.90
39.20,25027.20,0.40,25075.40,48.20
34.20,25376.50,0.50,25422.10,45.60
46.40,26425.60,0.90,26485.30,59.70
36.00,30602.40,0.50,30649.20,46.80
32.80,25931.50,0.50,25973.70,42.20
29.90,28797.50,0.60,28835.20,37.70
32.40,28476.60,0.40,28519.90,43.30
31.60,29904.80,0.60,29944.60,39.80
32.60,46934.80,0.40,46977.90,43.10
41.40,21041.90,0.60,21093.80,51.90
41.70,29006.20,0.40,29058.30,52.10
31.50,26483.50,0.50,26524.50,41.00
32.80,28006.40,0.50,28049.00,42.60
35.80,28618.20,0.80,28665.10,46.90
69.00,2261.70,0.70,2343.20,81.50
33.10,5595.50,0.70,5639.80,44.30
29.20,27434.30,0.70,27474.10,39.80
33.30,29910.60,1.10,29954.40,43.80
30.70,27418.10,0.90,27458.00,39.90
31.90,29701.00,0.70,29742.00,41.00
31.40,46530.20,0.60,46570.90,40.70
47.60,26526.10,1.30,26585.50,59.40
40.30,27360.60,0.50,27412.10,51.50
34.20,27656.20,0.50,27700.50,44.30
32.90,29000.70,0.50,29053.60,52.90
32.50,25890.00,0.50,25934.10,44.10
31.80,28938.70,0.80,28979.30,40.60
33.80,28814.10,0.70,28860.30,46.20
38.60,28626.00,0.60,28674.50,48.50
33.00,28624.70,0.40,28667.40,42.70
33.20,28801.40,0.80,28844.60,43.20
35.40,30753.40,0.60,30799.60,46.20
35.60,43514.20,0.60,43562.70,48.50
39.20,27817.50,0.60,27868.10,50.60
37.50,27523.70,0.50,27572.00,48.30
37.60,27679.70,0.80,27729.20,49.50
29.20,27692.00,0.40,27729.80,37.80
32.70,27254.10,0.60,27300.20,46.10
36.30,29753.40,0.50,29798.40,45.00
39.00,27676.70,0.50,27726.00,49.30
32.10,28655.30,0.90,28697.60,42.30
30.60,28454.60,0.40,28494.00,39.40
35.60,28977.80,1.00,29023.40,45.60
34.20,28478.20,0.50,28520.70,42.50
33.80,45728.00,0.60,45773.00,45.00
34.50,30762.30,0.70,30808.40,46.10
40.10,25627.10,0.70,25679.00,51.90
29.70,27778.70,0.80,27818.40,39.70
32.30,28192.60,0.80,28236.70,44.10
36.70,27541.10,0.60,27588.80,47.70
33.10,28654.60,0.70,28702.00,47.40
34.60,28367.20,0.40,28410.40,43.20
32.20,30106.60,0.40,30147.60,41.00
40.60,27994.20,0.80,28044.30,50.10
31.90,27965.80,0.60,28006.00,40.20
32.40,29324.10,0.50,29365.90,41.80
34.90,45506.90,0.50,45551.90,45.00
36.80,27846.00,1.00,27894.10,48.10
41.20,28403.90,0.90,28454.40,50.50
71.10,29526.40,0.70,29610.30,83.90
31.70,25895.30,0.50,25936.80,41.50
34.50,28991.90,0.70,29041.00,49.10
32.30,28695.40,0.70,28736.60,41.20
36.00,29363.00,0.60,29408.90,45.90
43.20,28565.70,0.50,28622.50,56.80
31.10,28592.90,0.70,28633.30,40.40
32.30,29845.40,0.80,29888.00,42.60
32.80,27817.00,0.50,27859.60,42.60
36.50,45723.90,0.60,45770.90,47.00
30.80,27735.30,0.50,27773.80,38.50
37.20,29355.40,0.90,29402.60,47.20
32.70,27251.20,0.60,27293.50,42.30
31.50,27944.70,0.60,27985.90,41.20
33.10,29300.80,0.60,29344.20,43.40
31.70,27467.20,0.80,27509.60,42.40
33.20,28783.10,0.50,28823.90,40.80
31.30,28826.50,0.70,28866.40,39.90
31.70,28744.80,0.90,28784.90,40.10
31.60,28660.40,0.70,28699.90,39.50
32.70,29593.90,0.40,29636.70,42.80
33.00,46744.60,0.90,46785.70,41.10
64.80,26293.80,0.70,26371.50,77.70
57.30,29917.90,0.80,29987.40,69.50
33.60,26399.00,0.50,26443.20,44.20
32.10,27683.40,0.50,27724.50,41.10
33.60,29072.50,0.50,29117.60,45.10
33.60,28829.60,0.40,28873.10,43.50
33.10,30580.90,0.90,30623.40,42.50
31.90,27067.20,0.50,27107.20,40.00
34.40,28696.00,0.40,28738.30,42.30
31.70,29153.20,0.40,29193.00,39.80
33.30,29129.40,0.70,29170.90,41.50
37.60,45084.30,0.80,45131.50,47.20
32.80,27908.00,0.60,27950.20,42.20
73.90,29722.40,0.80,29812.40,90.00
33.20,26274.90,0.50,26317.60,42.70
36.70,28651.40,0.60,28699.50,48.10
33.10,23491.10,0.60,23533.30,42.20
32.20,28795.10,0.50,28837.30,42.20
33.80,28298.90,0.50,28342.30,43.40
33.00,29157.70,0.50,29200.70,43.00
34.30,29134.90,0.70,29178.90,44.00
38.20,27686.60,0.50,27736.50,49.90
32.00,29599.00,0.50,29640.40,41.40
35.10,45000.50,0.40,45044.00,43.50
53.30,28562.20,1.20,28623.30,61.10
40.90,27863.80,0.80,28006.00,142.20
32.10,27619.80,0.50,27661.50,41.70
31.40,28834.60,0.50,28875.20,40.60
33.40,27417.40,0.40,27461.30,43.90
31.60,26166.50,0.60,26207.60,41.10
32.90,28315.90,0.80,28357.30,41.40
32.30,28700.70,0.90,28742.00,41.30
34.60,28853.60,0.80,28897.90,44.30
30.90,28887.10,0.70,28927.00,39.90
34.60,30575.00,0.90,30620.20,45.20
41.10,44369.00,0.80,44419.90,50.90
33.30,27904.50,0.50,27946.00,41.50
31.80,28500.50,0.50,28540.80,40.30
50.60,28073.40,0.70,28136.30,62.90
32.70,27120.50,0.50,27162.10,41.60
33.30,27853.40,0.70,27896.60,43.20
31.60,30428.30,0.60,30468.50,40.20
33.80,27254.20,0.40,27299.60,45.40
33.70,19920.50,0.60,19965.20,44.70
32.50,28600.00,0.80,28641.30,41.30
31.20,29014.90,0.50,29054.40,39.50
35.10,29142.20,0.90,29186.50,44.30
32.50,46019.40,0.40,46060.20,40.80
31.80,29089.70,0.70,29130.90,41.20
134.90,27357.40,0.60,27503.30,145.90
41.40,28041.90,0.60,28093.30,51.40
32.50,27139.70,0.80,27180.90,41.20
33.60,29237.40,0.70,29281.70,44.30
31.30,26538.20,0.40,26578.60,40.40
33.70,28359.50,0.60,28403.30,43.80
32.10,18529.40,0.60,18570.60,41.20
31.90,27687.00,0.40,27727.20,40.20
31.60,28647.90,0.60,28688.50,40.60
33.20,29466.50,0.60,29508.50,42.00
32.50,45698.10,0.60,45738.70,40.60
33.60,29278.20,0.50,29320.20,42.00
70.90,27476.00,1.30,27566.80,90.80
36.80,29739.80,0.60,29787.40,47.60
34.60,26206.10,0.90,26250.40,44.30
36.90,28571.50,0.80,28626.20,54.70
33.10,26387.70,0.40,26430.30,42.60
33.30,28590.60,0.60,28632.50,41.90
35.80,28813.40,0.40,28857.10,43.70
34.00,28761.80,0.60,28803.80,42.00
32.30,30102.90,0.40,30143.40,40.50
33.00,27935.50,0.50,27977.10,41.60
31.70,45637.90,0.60,45679.50,41.60
33.00,16625.50,0.50,16668.50,43.00
30.30,26993.30,0.50,27031.40,38.10
32.80,15291.90,0.40,15334.70,42.80
33.90,28097.20,0.50,28140.80,43.60
32.10,27759.70,0.60,27800.60,40.90
32.40,26997.50,0.50,27039.60,42.10
31.20,29416.00,0.60,29455.10,39.10
29.20,28845.10,0.70,28884.10,39.00
29.80,27710.80,0.60,27750.30,39.50
31.30,29473.80,0.40,29514.70,40.90
33.00,28178.80,0.50,28221.50,42.70
32.60,45889.30,0.50,45930.60,41.30
31.90,28333.40,0.80,28374.80,41.40
32.30,28366.10,0.60,28406.60,40.50
48.80,28278.20,0.40,28337.00,58.80
32.40,28236.10,0.40,28277.60,41.50
31.70,27165.90,0.40,27206.50,40.60
31.50,28460.40,0.50,28501.60,41.20
32.40,29733.30,0.60,29775.00,41.70
34.00,27954.70,0.60,27999.10,44.40
33.90,28764.30,0.60,28807.80,43.50
35.00,29029.00,0.50,29072.20,43.20
31.40,27899.40,0.70,27939.80,40.40
29.60,47875.40,0.50,47913.30,37.90
33.40,27162.70,0.80,27206.40,43.70
33.00,29381.60,1.00,29424.00,42.40
37.40,27425.70,0.60,27472.10,46.40
32.60,27734.70,1.20,27777.80,43.10
38.80,27364.10,0.50,27412.40,48.30
33.00,29065.80,0.80,29109.60,43.80
44.50,28444.10,0.50,28501.20,57.10
33.20,28300.20,0.40,28342.80,42.60
32.60,29152.10,1.10,29193.60,41.50
32.40,27969.80,0.60,28010.70,40.90
33.60,28842.30,0.70,28884.50,42.20
31.70,47196.10,0.50,47236.90,40.80
32.80,28553.00,0.90,28595.50,42.50
32.50,13364.80,0.50,13407.80,43.00
43.00,14234.50,0.60,14287.90,53.40
43.60,28905.50,0.50,28962.00,56.50
32.60,26306.80,0.70,26350.10,43.30
32.80,28478.80,0.60,28524.20,45.40
33.90,16843.00,0.60,16887.70,44.70
42.50,27892.00,0.50,27944.90,52.90
32.80,28150.50,0.50,28199.10,48.60
66.60,28763.90,0.60,28844.60,80.70
37.20,27493.20,0.60,27544.10,50.90
35.80,45744.70,0.60,45789.90,45.20
33.70,28804.30,0.60,28855.60,51.30
37.60,26916.80,1.30,26965.10,48.30
41.50,22619.60,0.60,22671.50,51.90
41.60,28888.50,0.40,28941.90,53.40
33.60,26065.00,0.50,26108.60,43.60
31.80,30033.20,0.70,30074.20,41.00
32.10,27618.60,0.40,27660.30,41.70
31.00,28909.10,0.70,28950.40,41.30
40.30,28897.50,0.60,28949.10,51.60
34.10,27272.30,0.70,27317.70,45.40
32.30,28638.20,0.60,28679.50,41.30
34.70,45875.80,0.70,45919.50,43.70
34.50,31049.00,0.70,31092.00,43.00
34.60,14684.10,0.40,14729.00,44.90
44.00,28652.10,0.60,28705.60,53.50
33.40,27564.70,0.50,27607.50,42.80
32.90,26503.60,0.70,26546.30,42.70
32.20,27440.40,0.90,27483.10,42.70
33.90,29061.00,1.10,29103.10,42.10
38.10,30086.80,0.60,30133.60,46.80
37.80,27316.50,0.70,27364.80,48.30
38.30,29671.10,0.90,29721.40,50.30
33.90,28635.80,0.40,28679.70,43.90
29.00,46841.30,0.40,46878.40,37.10
38.90,27160.00,0.60,27208.80,48.80
111.80,28199.30,1.50,28335.00,135.70
48.70,28628.40,0.60,28688.10,59.70
32.50,24247.30,0.60,24289.20,41.90
36.60,28310.20,0.60,28357.40,47.20
32.40,28851.10,0.60,28892.80,41.70
32.90,28536.80,0.70,28578.90,42.10
31.90,28941.00,0.40,28981.50,40.50
34.10,29181.40,0.50,29224.40,43.00
31.40,28622.60,0.70,28662.10,39.50
36.30,29249.50,0.50,29295.60,46.10
36.40,45380.30,0.70,45426.40,46.10
36.60,28681.90,0.50,28728.90,47.00
36.40,28164.90,0.40,28210.10,45.20
41.50,19307.40,0.70,19360.80,53.40
37.50,28503.60,0.50,28550.60,47.00
33.80,27751.60,1.20,27794.30,42.70
31.40,26842.10,0.50,26882.10,40.00
32.50,28617.20,0.60,28658.40,41.20
31.10,28780.20,0.40,28819.40,39.20
34.20,28966.30,0.60,29009.90,43.60
